id,stateabb1,ccode1,stateabb2,ccode2,year,joint_igo_membership
275,USA,2,TRI,52,2002,1
276,USA,2,TRI,52,2003,1
277,USA,2,TRI,52,2004,1
278,USA,2,TRI,52,2005,1
279,USA,2,BAR,53,1966,1
280,USA,2,BAR,53,1967,1
281,USA,2,BAR,53,1968,1
282,USA,2,BAR,53,1969,1
283,USA,2,BAR,53,1970,1
284,USA,2,BAR,53,1971,1
285,USA,2,BAR,53,1972,1
286,USA,2,BAR,53,1973,1
287,USA,2,BAR,53,1974,1
288,USA,2,BAR,53,1975,1
289,USA,2,BAR,53,1976,1
290,USA,2,BAR,53,1977,1
291,USA,2,BAR,53,1978,1
292,USA,2,BAR,53,1979,1
293,USA,2,BAR,53,1980,1
294,USA,2,BAR,53,1981,1
295,USA,2,BAR,53,1982,1
296,USA,2,BAR,53,1983,1
297,USA,2,BAR,53,1984,1
298,USA,2,BAR,53,1985,1
299,USA,2,BAR,53,1986,1
300,USA,2,BAR,53,1987,1
301,USA,2,BAR,53,1988,1
302,USA,2,BAR,53,1989,1
303,USA,2,BAR,53,1990,1
304,USA,2,BAR,53,1991,1
305,USA,2,BAR,53,1992,1
306,USA,2,BAR,53,1993,1
307,USA,2,BAR,53,1994,1
308,USA,2,BAR,53,1995,1
309,USA,2,BAR,53,1996,1
310,USA,2,BAR,53,1997,1
311,USA,2,BAR,53,1998,1
312,USA,2,BAR,53,1999,1
313,USA,2,BAR,53,2000,1
314,USA,2,BAR,53,2001,1
315,USA,2,BAR,53,2002,1
316,USA,2,BAR,53,2003,1
317,USA,2,BAR,53,2004,1
318,USA,2,BAR,53,2005,1
319,USA,2,DMA,54,1978,1
320,USA,2,DMA,54,1979,1
321,USA,2,DMA,54,1980,1
322,USA,2,DMA,54,1981,1
323,USA,2,DMA,54,1982,1
324,USA,2,DMA,54,1983,1
325,USA,2,DMA,54,1984,1
326,USA,2,DMA,54,1985,1
327,USA,2,DMA,54,1986,1
