id,stateabb,ccode,year,p5
367,CAN,20,1988,0
368,CAN,20,1989,0
369,CAN,20,1990,0
370,CAN,20,1991,0
371,CAN,20,1992,0
372,CAN,20,1993,0
373,CAN,20,1994,0
374,CAN,20,1995,0
375,CAN,20,1996,0
376,CAN,20,1997,0
377,CAN,20,1998,0
378,CAN,20,1999,0
379,CAN,20,2000,0
380,CAN,20,2001,0
381,CAN,20,2002,0
382,CAN,20,2003,0
383,CAN,20,2004,0
384,CAN,20,2005,0
385,CAN,20,2006,0
386,CAN,20,2007,0
387,CAN,20,2008,0
388,CAN,20,2009,0
389,CAN,20,2010,0
390,CAN,20,2011,0
391,CAN,20,2012,0
392,CAN,20,2013,0
393,CAN,20,2014,0
394,CAN,20,2015,0
395,CAN,20,2016,0
396,CAN,20,2017,0
397,CAN,20,2018,0
398,CUB,40,1902,0
399,CUB,40,1903,0
400,CUB,40,1904,0
401,CUB,40,1905,0
402,CUB,40,1906,0
403,CUB,40,1907,0
404,CUB,40,1908,0
405,CUB,40,1909,0
406,CUB,40,1910,0
407,CUB,40,1911,0
408,CUB,40,1912,0
409,CUB,40,1913,0
410,CUB,40,1914,0
411,CUB,40,1915,0
412,CUB,40,1916,0
413,CUB,40,1917,0
414,CUB,40,1918,0
415,CUB,40,1919,0
416,CUB,40,1920,0
417,CUB,40,1921,0
418,CUB,40,1922,0
419,CUB,40,1923,0
420,CUB,40,1924,0
421,CUB,40,1925,0
422,CUB,40,1926,0
423,CUB,40,1927,0
424,CUB,40,1928,0
425,CUB,40,1929,0
426,CUB,40,1930,0
427,CUB,40,1931,0
428,CUB,40,1932,0
429,CUB,40,1933,0
430,CUB,40,1934,0
431,CUB,40,1935,0
432,CUB,40,1936,0
433,CUB,40,1937,0
434,CUB,40,1938,0
435,CUB,40,1939,0
436,CUB,40,1940,0
437,CUB,40,1941,0
438,CUB,40,1942,0
439,CUB,40,1943,0
440,CUB,40,1944,0
441,CUB,40,1945,0
442,CUB,40,1946,0
443,CUB,40,1947,0
444,CUB,40,1948,0
445,CUB,40,1949,0
446,CUB,40,1950,0
447,CUB,40,1951,0
448,CUB,40,1952,0
449,CUB,40,1953,0
450,CUB,40,1954,0
451,CUB,40,1955,0
452,CUB,40,1956,0
453,CUB,40,1957,0
454,CUB,40,1958,0
455,CUB,40,1959,0
456,CUB,40,1960,0
457,CUB,40,1961,0
458,CUB,40,1962,0
459,CUB,40,1963,0
460,CUB,40,1964,0
461,CUB,40,1965,0
462,CUB,40,1966,0
463,CUB,40,1967,0
464,CUB,40,1968,0
465,CUB,40,1969,0
466,CUB,40,1970,0
467,CUB,40,1971,0
468,CUB,40,1972,0
469,CUB,40,1973,0
470,CUB,40,1974,0
471,CUB,40,1975,0
472,CUB,40,1976,0
473,CUB,40,1977,0
474,CUB,40,1978,0
475,CUB,40,1979,0
476,CUB,40,1980,0
477,CUB,40,1981,0
478,CUB,40,1982,0
479,CUB,40,1983,0
480,CUB,40,1984,0
481,CUB,40,1985,0
482,CUB,40,1986,0
483,CUB,40,1987,0
484,CUB,40,1988,0
485,CUB,40,1989,0
486,CUB,40,1990,0
487,CUB,40,1991,0
488,CUB,40,1992,0
489,CUB,40,1993,0
490,CUB,40,1994,0
491,CUB,40,1995,0
492,CUB,40,1996,0
493,CUB,40,1997,0
494,CUB,40,1998,0
495,CUB,40,1999,0
496,CUB,40,2000,0
497,CUB,40,2001,0
498,CUB,40,2002,0
499,CUB,40,2003,0
500,CUB,40,2004,0
501,CUB,40,2005,0
502,CUB,40,2006,0
503,CUB,40,2007,0
504,CUB,40,2008,0
505,CUB,40,2009,0
506,CUB,40,2010,0
507,CUB,40,2011,0
508,CUB,40,2012,0
509,CUB,40,2013,0
510,CUB,40,2014,0
511,CUB,40,2015,0
512,CUB,40,2016,0
513,CUB,40,2017,0
514,CUB,40,2018,0
515,HAI,41,1820,1
516,HAI,41,1821,1
517,HAI,41,1822,1
518,HAI,41,1823,1
519,HAI,41,1824,1
520,HAI,41,1825,1
521,HAI,41,1826,1
522,HAI,41,1827,1
523,HAI,41,1828,1
524,HAI,41,1829,1
525,HAI,41,1830,1
526,HAI,41,1831,1
527,HAI,41,1832,1
528,HAI,41,1833,1
529,HAI,41,1834,1
530,HAI,41,1835,1
531,HAI,41,1836,1
532,HAI,41,1837,1
533,HAI,41,1838,1
534,HAI,41,1839,1
535,HAI,41,1840,1
536,HAI,41,1841,1
537,HAI,41,1842,1
538,HAI,41,1843,1
539,HAI,41,1844,1
540,HAI,41,1845,1
541,HAI,41,1846,1
542,HAI,41,1847,1
543,HAI,41,1848,1
544,HAI,41,1849,1
545,HAI,41,1850,1
546,HAI,41,1851,1
547,HAI,41,1852,1
548,HAI,41,1853,1
549,HAI,41,1854,1
550,HAI,41,1855,1
551,HAI,41,1856,1
552,HAI,41,1857,1
553,HAI,41,1858,1
554,HAI,41,1859,1
555,HAI,41,1860,1
556,HAI,41,1861,1
557,HAI,41,1862,1
558,HAI,41,1863,1
559,HAI,41,1864,1
560,HAI,41,1865,1
561,HAI,41,1866,1
562,HAI,41,1867,1
563,HAI,41,1868,1
564,HAI,41,1869,1
565,HAI,41,1870,1
566,HAI,41,1871,1
567,HAI,41,1872,1
568,HAI,41,1873,1
569,HAI,41,1874,1
570,HAI,41,1875,1
571,HAI,41,1876,1
572,HAI,41,1877,1
573,HAI,41,1878,1
574,HAI,41,1879,1
575,HAI,41,1880,1
576,HAI,41,1881,1
577,HAI,41,1882,1
578,HAI,41,1883,1
579,HAI,41,1884,1
580,HAI,41,1885,1
581,HAI,41,1886,1
582,HAI,41,1887,1
583,HAI,41,1888,1
584,HAI,41,1889,1
585,HAI,41,1890,1
586,HAI,41,1891,1
587,HAI,41,1892,1
588,HAI,41,1893,1
589,HAI,41,1894,1
590,HAI,41,1895,1
591,HAI,41,1896,1
592,HAI,41,1897,1
593,HAI,41,1898,1
594,HAI,41,1899,1
595,HAI,41,1900,1
596,HAI,41,1901,1
597,HAI,41,1902,1
598,HAI,41,1903,1
599,HAI,41,1904,1
600,HAI,41,1905,1
601,HAI,41,1906,1
602,HAI,41,1907,1
603,HAI,41,1908,1
604,HAI,41,1909,1
605,HAI,41,1910,1
606,HAI,41,1911,1
607,HAI,41,1912,1
608,HAI,41,1913,1
609,HAI,41,1914,1
610,HAI,41,1915,1
611,HAI,41,1916,1
612,HAI,41,1917,1
613,HAI,41,1918,1
614,HAI,41,1919,1
615,HAI,41,1920,1
616,HAI,41,1921,1
617,HAI,41,1922,1
618,HAI,41,1923,1
619,HAI,41,1924,1
620,HAI,41,1925,1
621,HAI,41,1926,1
622,HAI,41,1927,1
623,HAI,41,1928,1
624,HAI,41,1929,1
625,HAI,41,1930,1
626,HAI,41,1931,1
627,HAI,41,1932,1
628,HAI,41,1933,1
629,HAI,41,1934,1
630,HAI,41,1935,1
631,HAI,41,1936,1
632,HAI,41,1937,1
633,HAI,41,1938,1
634,HAI,41,1939,1
635,HAI,41,1940,1
636,HAI,41,1941,1
637,HAI,41,1942,1
638,HAI,41,1943,1
639,HAI,41,1944,1
640,HAI,41,1945,1
641,HAI,41,1946,1
642,HAI,41,1947,1
643,HAI,41,1948,1
644,HAI,41,1949,1
645,HAI,41,1950,1
646,HAI,41,1951,1
647,HAI,41,1952,1
648,HAI,41,1953,1
649,HAI,41,1954,1
650,HAI,41,1955,1
651,HAI,41,1956,1
652,HAI,41,1957,1
653,HAI,41,1958,1
654,HAI,41,1959,1
655,HAI,41,1960,1
656,HAI,41,1961,1
657,HAI,41,1962,1
658,HAI,41,1963,1
659,HAI,41,1964,1
660,HAI,41,1965,1
661,HAI,41,1966,1
662,HAI,41,1967,1
663,HAI,41,1968,1
664,HAI,41,1969,1
665,HAI,41,1970,1
666,HAI,41,1971,1
667,HAI,41,1972,1
668,HAI,41,1973,1
669,HAI,41,1974,1
670,HAI,41,1975,1
671,HAI,41,1976,1
672,HAI,41,1977,1
673,HAI,41,1978,1
674,HAI,41,1979,1
675,HAI,41,1980,1
676,HAI,41,1981,1
677,HAI,41,1982,1
678,HAI,41,1983,1
679,HAI,41,1984,1
680,HAI,41,1985,1
681,HAI,41,1986,1
682,HAI,41,1987,1
683,HAI,41,1988,1
684,HAI,41,1989,1
685,HAI,41,1990,1
686,HAI,41,1991,1
687,HAI,41,1992,1
688,HAI,41,1993,1
689,HAI,41,1994,1
690,HAI,41,1995,1
691,HAI,41,1996,1
692,HAI,41,1997,1
693,HAI,41,1998,1
694,HAI,41,1999,1
695,HAI,41,2000,1
696,HAI,41,2001,1
697,HAI,41,2002,1
698,HAI,41,2003,1
699,HAI,41,2004,1
700,HAI,41,2005,1
701,HAI,41,2006,1
702,HAI,41,2007,1
703,HAI,41,2008,1
704,HAI,41,2009,1
705,HAI,41,2010,1
706,HAI,41,2011,1
707,HAI,41,2012,1
708,HAI,41,2013,1
709,HAI,41,2014,1
710,HAI,41,2015,1
711,HAI,41,2016,1
712,HAI,41,2017,1
713,HAI,41,2018,1
714,DOM,42,1844,0
715,DOM,42,1845,0
716,DOM,42,1846,0
717,DOM,42,1847,0
718,DOM,42,1848,0
719,DOM,42,1849,0
720,DOM,42,1850,0
721,DOM,42,1851,0
722,DOM,42,1852,0
723,DOM,42,1853,0
724,DOM,42,1854,0
725,DOM,42,1855,0
726,DOM,42,1856,0
727,DOM,42,1857,0
728,DOM,42,1858,0
729,DOM,42,1859,0
730,DOM,42,1860,0
731,DOM,42,1861,0
732,DOM,42,1862,0
733,DOM,42,1863,0
734,DOM,42,1864,0
735,DOM,42,1865,0
736,DOM,42,1866,0
737,DOM,42,1867,0
738,DOM,42,1868,0
739,DOM,42,1869,0
740,DOM,42,1870,0
741,DOM,42,1871,0
742,DOM,42,1872,0
743,DOM,42,1873,0
744,DOM,42,1874,0
745,DOM,42,1875,0
746,DOM,42,1876,0
747,DOM,42,1877,0
748,DOM,42,1878,0
749,DOM,42,1879,0
750,DOM,42,1880,0
751,DOM,42,1881,0
752,DOM,42,1882,0
753,DOM,42,1883,0
754,DOM,42,1884,0
755,DOM,42,1885,0
756,DOM,42,1886,0
757,DOM,42,1887,0
758,DOM,42,1888,0
759,DOM,42,1889,0
760,DOM,42,1890,0
761,DOM,42,1891,0
762,DOM,42,1892,0
763,DOM,42,1893,0
764,DOM,42,1894,0
765,DOM,42,1895,0
766,DOM,42,1896,0
767,DOM,42,1897,0
768,DOM,42,1898,0
769,DOM,42,1899,0
770,DOM,42,1900,0
771,DOM,42,1901,0
772,DOM,42,1902,0
773,DOM,42,1903,0
774,DOM,42,1904,0
775,DOM,42,1905,0
776,DOM,42,1906,0
777,DOM,42,1907,0
778,DOM,42,1908,0
779,DOM,42,1909,0
780,DOM,42,1910,0
781,DOM,42,1911,0
782,DOM,42,1912,0
783,DOM,42,1913,0
784,DOM,42,1914,0
785,DOM,42,1915,0
786,DOM,42,1916,0
787,DOM,42,1917,0
788,DOM,42,1918,0
789,DOM,42,1919,0
790,DOM,42,1920,0
791,DOM,42,1921,0
792,DOM,42,1922,0
793,DOM,42,1923,0
794,DOM,42,1924,0
795,DOM,42,1925,0
796,DOM,42,1926,0
797,DOM,42,1927,0
798,DOM,42,1928,0
799,DOM,42,1929,0
800,DOM,42,1930,0
801,DOM,42,1931,0
802,DOM,42,1932,1
803,DOM,42,1933,1
804,DOM,42,1934,1
805,DOM,42,1935,1
806,DOM,42,1936,1
807,DOM,42,1937,1
808,DOM,42,1938,1
809,DOM,42,1939,1
810,DOM,42,1940,1
811,DOM,42,1941,1
812,DOM,42,1942,1
813,DOM,42,1943,1
814,DOM,42,1944,1
815,DOM,42,1945,1
816,DOM,42,1946,1
817,DOM,42,1947,1
818,DOM,42,1948,1
819,DOM,42,1949,1
820,DOM,42,1950,1
821,DOM,42,1951,1
822,DOM,42,1952,1
823,DOM,42,1953,1
824,DOM,42,1954,1
825,DOM,42,1955,1
826,DOM,42,1956,1
827,DOM,42,1957,1
828,DOM,42,1958,1
829,DOM,42,1959,1
830,DOM,42,1960,1
831,DOM,42,1961,1
832,DOM,42,1962,1
833,DOM,42,1963,1
834,DOM,42,1964,1
835,DOM,42,1965,1
836,DOM,42,1966,1
837,DOM,42,1967,1
838,DOM,42,1968,1
839,DOM,42,1969,1
840,DOM,42,1970,1
841,DOM,42,1971,1
842,DOM,42,1972,1
843,DOM,42,1973,1
844,DOM,42,1974,1
845,DOM,42,1975,1
846,DOM,42,1976,1
847,DOM,42,1977,1
848,DOM,42,1978,1
849,DOM,42,1979,1
850,DOM,42,1980,1
851,DOM,42,1981,1
852,DOM,42,1982,1
853,DOM,42,1983,1
854,DOM,42,1984,1
855,DOM,42,1985,1
856,DOM,42,1986,1
857,DOM,42,1987,1
858,DOM,42,1988,1
859,DOM,42,1989,1
860,DOM,42,1990,1
861,DOM,42,1991,1
862,DOM,42,1992,1
863,DOM,42,1993,1
864,DOM,42,1994,1
865,DOM,42,1995,1
866,DOM,42,1996,1
867,DOM,42,1997,1
868,DOM,42,1998,1
869,DOM,42,1999,1
870,DOM,42,2000,1
871,DOM,42,2001,1
872,DOM,42,2002,1
873,DOM,42,2003,1
874,DOM,42,2004,1
875,DOM,42,2005,1
876,DOM,42,2006,1
877,DOM,42,2007,1
878,DOM,42,2008,1
879,DOM,42,2009,1
880,DOM,42,2010,1
881,DOM,42,2011,1
882,DOM,42,2012,1
883,DOM,42,2013,1
884,DOM,42,2014,1
885,DOM,42,2015,1
886,DOM,42,2016,1
887,DOM,42,2017,1
888,DOM,42,2018,1
889,JAM,51,1959,0
890,JAM,51,1960,0
891,JAM,51,1961,0
892,JAM,51,1962,0
893,JAM,51,1963,0
894,JAM,51,1964,0
895,JAM,51,1965,0
896,JAM,51,1966,0
897,JAM,51,1967,0
898,JAM,51,1968,0
899,JAM,51,1969,0
900,JAM,51,1970,0
901,JAM,51,1971,0
902,JAM,51,1972,0
903,JAM,51,1973,0
904,JAM,51,1974,0
905,JAM,51,1975,0
906,JAM,51,1976,0
907,JAM,51,1977,0
908,JAM,51,1978,0
909,JAM,51,1979,0
910,JAM,51,1980,0
911,JAM,51,1981,0
912,JAM,51,1982,0
913,JAM,51,1983,0
914,JAM,51,1984,0
915,JAM,51,1985,0
916,JAM,51,1986,0
917,JAM,51,1987,0
918,JAM,51,1988,0
919,JAM,51,1989,0
920,JAM,51,1990,0
921,JAM,51,1991,0
922,JAM,51,1992,0
923,JAM,51,1993,0
924,JAM,51,1994,0
925,JAM,51,1995,0
926,JAM,51,1996,0
927,JAM,51,1997,0
928,JAM,51,1998,0
929,JAM,51,1999,0
930,JAM,51,2000,0
931,JAM,51,2001,0
932,JAM,51,2002,0
933,JAM,51,2003,0
934,JAM,51,2004,0
935,JAM,51,2005,0
936,JAM,51,2006,0
937,JAM,51,2007,0
938,JAM,51,2008,0
939,JAM,51,2009,0
940,JAM,51,2010,0
941,JAM,51,2011,0
942,JAM,51,2012,0
943,JAM,51,2013,0
944,JAM,51,2014,0
945,JAM,51,2015,0
946,JAM,51,2016,0
947,JAM,51,2017,0
948,JAM,51,2018,0
949,TRI,52,1962,1
950,TRI,52,1963,1
951,TRI,52,1964,1
952,TRI,52,1965,1
953,TRI,52,1966,1
954,TRI,52,1967,1
955,TRI,52,1968,1
956,TRI,52,1969,1
957,TRI,52,1970,1
958,TRI,52,1971,1
959,TRI,52,1972,1
960,TRI,52,1973,1
961,TRI,52,1974,1
962,TRI,52,1975,1
963,TRI,52,1976,1
964,TRI,52,1977,1
965,TRI,52,1978,1
966,TRI,52,1979,1
967,TRI,52,1980,1
968,TRI,52,1981,1
969,TRI,52,1982,1
970,TRI,52,1983,1
971,TRI,52,1984,1
972,TRI,52,1985,1
973,TRI,52,1986,1
974,TRI,52,1987,1
975,TRI,52,1988,1
976,TRI,52,1989,1
977,TRI,52,1990,1
978,TRI,52,1991,1
979,TRI,52,1992,1
980,TRI,52,1993,1
981,TRI,52,1994,1
982,TRI,52,1995,1
983,TRI,52,1996,1
984,TRI,52,1997,1
985,TRI,52,1998,1
986,TRI,52,1999,1
987,TRI,52,2000,1
988,TRI,52,2001,1
989,TRI,52,2002,1
990,TRI,52,2003,1
991,TRI,52,2004,1
992,TRI,52,2005,1
993,TRI,52,2006,1
994,TRI,52,2007,1
995,TRI,52,2008,1
996,TRI,52,2009,1
997,TRI,52,2010,1
998,TRI,52,2011,1
999,TRI,52,2012,1
1000,TRI,52,2013,1
1001,TRI,52,2014,1
1002,TRI,52,2015,1
1003,TRI,52,2016,1
1004,TRI,52,2017,1
1005,TRI,52,2018,1
1006,MEX,70,1822,0
1007,MEX,70,1823,0
1008,MEX,70,1824,0
1009,MEX,70,1825,0
1010,MEX,70,1826,0
1011,MEX,70,1827,0
1012,MEX,70,1828,0
1013,MEX,70,1829,0
1014,MEX,70,1830,0
1015,MEX,70,1831,0
1016,MEX,70,1832,0
1017,MEX,70,1833,0
1018,MEX,70,1834,0
1019,MEX,70,1835,0
1020,MEX,70,1836,0
1021,MEX,70,1837,0
1022,MEX,70,1838,0
1023,MEX,70,1839,0
1024,MEX,70,1840,0
1025,MEX,70,1841,0
1026,MEX,70,1842,0
1027,MEX,70,1843,0
1028,MEX,70,1844,0
1029,MEX,70,1845,0
1030,MEX,70,1846,0
1031,MEX,70,1847,0
1032,MEX,70,1848,0
1033,MEX,70,1849,0
1034,MEX,70,1850,0
1035,MEX,70,1851,0
1036,MEX,70,1852,0
1037,MEX,70,1853,0
1038,MEX,70,1854,0
1039,MEX,70,1855,0
1040,MEX,70,1856,0
1041,MEX,70,1857,0
1042,MEX,70,1858,0
1043,MEX,70,1859,0
1044,MEX,70,1860,0
1045,MEX,70,1861,0
1046,MEX,70,1862,0
1047,MEX,70,1863,0
1048,MEX,70,1864,0
1049,MEX,70,1865,0
1050,MEX,70,1866,0
1051,MEX,70,1867,0
1052,MEX,70,1868,0
1053,MEX,70,1869,0
1054,MEX,70,1870,0
1055,MEX,70,1871,0
1056,MEX,70,1872,0
1057,MEX,70,1873,0
1058,MEX,70,1874,0
1059,MEX,70,1875,0
1060,MEX,70,1876,0
1061,MEX,70,1877,0
1062,MEX,70,1878,0
1063,MEX,70,1879,0
1064,MEX,70,1880,0
1065,MEX,70,1881,0
1066,MEX,70,1882,0
1067,MEX,70,1883,0
1068,MEX,70,1884,0
1069,MEX,70,1885,0
1070,MEX,70,1886,0
1071,MEX,70,1887,0
1072,MEX,70,1888,0
1073,MEX,70,1889,0
1074,MEX,70,1890,0
1075,MEX,70,1891,0
1076,MEX,70,1892,0
1077,MEX,70,1893,0
1078,MEX,70,1894,0
1079,MEX,70,1895,0
1080,MEX,70,1896,0
1081,MEX,70,1897,0
1082,MEX,70,1898,0
1083,MEX,70,1899,0
1084,MEX,70,1900,0
1085,MEX,70,1901,0
