id,stateabb,ccode,year,major
438,CUB,40,2006,0
439,CUB,40,2007,0
440,CUB,40,2008,0
441,CUB,40,2009,0
442,CUB,40,2010,0
443,CUB,40,2011,0
444,CUB,40,2012,0
445,CUB,40,2013,0
446,CUB,40,2014,0
447,HAI,41,1859,0
448,HAI,41,1860,0
449,HAI,41,1861,0
450,HAI,41,1862,0
451,HAI,41,1863,0
452,HAI,41,1864,0
453,HAI,41,1865,0
454,HAI,41,1866,0
455,HAI,41,1867,0
456,HAI,41,1868,0
457,HAI,41,1869,0
458,HAI,41,1870,0
459,HAI,41,1871,0
460,HAI,41,1872,0
461,HAI,41,1873,0
462,HAI,41,1874,0
463,HAI,41,1875,0
464,HAI,41,1876,0
465,HAI,41,1877,0
466,HAI,41,1878,0
467,HAI,41,1879,0
468,HAI,41,1880,0
469,HAI,41,1881,0
470,HAI,41,1882,0
471,HAI,41,1883,0
472,HAI,41,1884,0
473,HAI,41,1885,0
474,HAI,41,1886,0
475,HAI,41,1887,0
476,HAI,41,1888,0
477,HAI,41,1889,0
478,HAI,41,1890,0
479,HAI,41,1891,0
480,HAI,41,1892,0
481,HAI,41,1893,0
482,HAI,41,1894,0
483,HAI,41,1895,0
484,HAI,41,1896,0
485,HAI,41,1897,0
486,HAI,41,1898,0
487,HAI,41,1899,0
488,HAI,41,1900,0
489,HAI,41,1901,0
490,HAI,41,1902,0
491,HAI,41,1903,0
492,HAI,41,1904,0
493,HAI,41,1905,0
494,HAI,41,1906,0
495,HAI,41,1907,0
496,HAI,41,1908,0
497,HAI,41,1909,0
498,HAI,41,1910,0
499,HAI,41,1911,0
500,HAI,41,1912,0
501,HAI,41,1913,0
502,HAI,41,1914,0
503,HAI,41,1915,0
504,HAI,41,1934,0
505,HAI,41,1935,0
506,HAI,41,1936,0
507,HAI,41,1937,0
508,HAI,41,1938,0
509,HAI,41,1939,0
510,HAI,41,1940,0
511,HAI,41,1941,0
512,HAI,41,1942,0
513,HAI,41,1943,0
514,HAI,41,1944,0
515,HAI,41,1945,0
516,HAI,41,1946,0
517,HAI,41,1947,0
518,HAI,41,1948,0
519,HAI,41,1949,0
520,HAI,41,1950,0
521,HAI,41,1951,0
522,HAI,41,1952,0
523,HAI,41,1953,0
524,HAI,41,1954,0
525,HAI,41,1955,0
526,HAI,41,1956,0
527,HAI,41,1957,0
528,HAI,41,1958,0
529,HAI,41,1959,0
530,HAI,41,1960,0
531,HAI,41,1961,0
532,HAI,41,1962,0
533,HAI,41,1963,0
534,HAI,41,1964,0
535,HAI,41,1965,0
536,HAI,41,1966,0
537,HAI,41,1967,0
538,HAI,41,1968,0
539,HAI,41,1969,0
540,HAI,41,1970,0
541,HAI,41,1971,0
542,HAI,41,1972,0
543,HAI,41,1973,0
544,HAI,41,1974,0
545,HAI,41,1975,0
546,HAI,41,1976,0
547,HAI,41,1977,0
548,HAI,41,1978,0
549,HAI,41,1979,0
550,HAI,41,1980,0
551,HAI,41,1981,0
552,HAI,41,1982,0
553,HAI,41,1983,0
554,HAI,41,1984,0
555,HAI,41,1985,0
556,HAI,41,1986,0
557,HAI,41,1987,0
558,HAI,41,1988,0
559,HAI,41,1989,0
560,HAI,41,1990,0
561,HAI,41,1991,0
562,HAI,41,1992,0
563,HAI,41,1993,0
564,HAI,41,1994,0
565,HAI,41,1995,0
566,HAI,41,1996,0
567,HAI,41,1997,0
568,HAI,41,1998,0
569,HAI,41,1999,0
570,HAI,41,2000,0
571,HAI,41,2001,0
572,HAI,41,2002,0
573,HAI,41,2003,0
574,HAI,41,2004,0
575,HAI,41,2005,0
576,HAI,41,2006,0
577,HAI,41,2007,0
578,HAI,41,2008,0
579,HAI,41,2009,0
580,HAI,41,2010,0
581,HAI,41,2011,0
582,HAI,41,2012,0
583,HAI,41,2013,0
584,HAI,41,2014,0
585,DOM,42,1894,0
586,DOM,42,1895,0
587,DOM,42,1896,0
588,DOM,42,1897,0
589,DOM,42,1898,0
590,DOM,42,1899,0
591,DOM,42,1900,0
592,DOM,42,1901,0
593,DOM,42,1902,0
594,DOM,42,1903,0
595,DOM,42,1904,0
596,DOM,42,1905,0
597,DOM,42,1906,0
598,DOM,42,1907,0
599,DOM,42,1908,0
600,DOM,42,1909,0
601,DOM,42,1910,0
602,DOM,42,1911,0
603,DOM,42,1912,0
604,DOM,42,1913,0
605,DOM,42,1914,0
606,DOM,42,1915,0
607,DOM,42,1916,0
608,DOM,42,1924,0
609,DOM,42,1925,0
610,DOM,42,1926,0
611,DOM,42,1927,0
612,DOM,42,1928,0
613,DOM,42,1929,0
614,DOM,42,1930,0
615,DOM,42,1931,0
616,DOM,42,1932,0
617,DOM,42,1933,0
618,DOM,42,1934,0
619,DOM,42,1935,0
620,DOM,42,1936,0
621,DOM,42,1937,0
622,DOM,42,1938,0
623,DOM,42,1939,0
624,DOM,42,1940,0
625,DOM,42,1941,0
626,DOM,42,1942,0
627,DOM,42,1943,0
628,DOM,42,1944,0
629,DOM,42,1945,0
630,DOM,42,1946,0
631,DOM,42,1947,0
632,DOM,42,1948,0
633,DOM,42,1949,0
634,DOM,42,1950,0
635,DOM,42,1951,0
636,DOM,42,1952,0
637,DOM,42,1953,0
638,DOM,42,1954,0
639,DOM,42,1955,0
640,DOM,42,1956,0
641,DOM,42,1957,0
642,DOM,42,1958,0
643,DOM,42,1959,0
644,DOM,42,1960,0
645,DOM,42,1961,0
646,DOM,42,1962,0
647,DOM,42,1963,0
648,DOM,42,1964,0
649,DOM,42,1965,0
650,DOM,42,1966,0
651,DOM,42,1967,0
652,DOM,42,1968,0
653,DOM,42,1969,0
654,DOM,42,1970,0
655,DOM,42,1971,0
656,DOM,42,1972,0
657,DOM,42,1973,0
658,DOM,42,1974,0
659,DOM,42,1975,0
660,DOM,42,1976,0
661,DOM,42,1977,0
662,DOM,42,1978,0
663,DOM,42,1979,0
664,DOM,42,1980,0
665,DOM,42,1981,0
666,DOM,42,1982,0
667,DOM,42,1983,0
668,DOM,42,1984,0
669,DOM,42,1985,0
670,DOM,42,1986,0
671,DOM,42,1987,0
672,DOM,42,1988,0
673,DOM,42,1989,0
674,DOM,42,1990,0
675,DOM,42,1991,0
676,DOM,42,1992,0
677,DOM,42,1993,0
678,DOM,42,1994,0
