id,stateabb1,ccode1,stateabb2,ccode2,year,defense,milex_1,milex_2,tpop_1,tpop_2
508,USA,2,SLU,56,2003,1,404920000,0,292883.0,162.0
509,USA,2,SLU,56,2004,1,455908000,0,295487.0,163.0
510,USA,2,SLU,56,2005,1,495326000,0,298166.0,165.0
511,USA,2,SLU,56,2006,1,521840000,0,300943.0,168.0
512,USA,2,SLU,56,2007,1,552568000,0,303787.0,170.0
513,USA,2,SLU,56,2008,1,616073000,0,306657.0,173.0
514,USA,2,SLU,56,2009,1,662049000,0,309492.0,175.0
515,USA,2,SLU,56,2010,1,693600000,0,312247.0,177.0
516,USA,2,SLU,56,2011,1,687000000,0,314912.0,179.0
517,USA,2,SLU,56,2012,1,655388000,0,317505.0,181.0
518,USA,2,SVG,57,1981,1,169888000,1296,229966.0,99.0
519,USA,2,SVG,57,1982,1,196345000,1677,232188.0,99.0
520,USA,2,SVG,57,1983,1,217198000,1925,234307.0,100.0
521,USA,2,SVG,57,1984,1,237052000,2296,236348.0,101.0
522,USA,2,SVG,57,1985,1,245154000,2148,238466.0,102.0
523,USA,2,SVG,57,1986,1,265480000,2703,240651.0,102.0
524,USA,2,SVG,57,1987,1,273966000,3000,242804.0,103.0
525,USA,2,SVG,57,1988,1,281935000,3074,245021.0,104.0
526,USA,2,SVG,57,1989,1,294880000,3222,247342.0,105.0
527,USA,2,SVG,57,1990,1,289755000,3222,249907.0,106.0
528,USA,2,SVG,57,1991,1,262389000,-9,252618.0,106.0
529,USA,2,SVG,57,1992,1,286892000,-9,255391.0,109.0
530,USA,2,SVG,57,1993,1,297600000,-9,258132.0,109.0
531,USA,2,SVG,57,1994,1,293214000,0,260602.0,110.0
532,USA,2,SVG,57,1995,1,277834000,0,262755.0,111.0
533,USA,2,SVG,57,1996,1,277254000,0,265284.0,111.0
534,USA,2,SVG,57,1997,1,276324000,0,267901.0,112.0
535,USA,2,SVG,57,1998,1,279702000,0,274028.0,112.0
536,USA,2,SVG,57,1999,1,292147000,0,276218.0,113.0
537,USA,2,SVG,57,2000,1,303136000,0,278357.0,114.0
538,USA,2,SVG,57,2001,1,322365000,0,285112.0,109.0
539,USA,2,SVG,57,2002,1,348555000,0,290270.0,108.0
540,USA,2,SVG,57,2003,1,404920000,0,292883.0,108.0
541,USA,2,SVG,57,2004,1,455908000,0,295487.0,109.0
542,USA,2,SVG,57,2005,1,495326000,0,298166.0,109.0
543,USA,2,SVG,57,2006,1,521840000,0,300943.0,109.0
544,USA,2,SVG,57,2007,1,552568000,0,303787.0,109.0
545,USA,2,SVG,57,2008,1,616073000,0,306657.0,109.0
546,USA,2,SVG,57,2009,1,662049000,0,309492.0,109.0
547,USA,2,SVG,57,2010,1,693600000,0,312247.0,109.0
548,USA,2,SVG,57,2011,1,687000000,0,314912.0,109.0
549,USA,2,SVG,57,2012,1,655388000,0,317505.0,109.0
550,USA,2,AAB,58,1981,1,169888000,0,229966.0,63.0
551,USA,2,AAB,58,1982,1,196345000,-9,232188.0,63.0
552,USA,2,AAB,58,1983,1,217198000,-9,234307.0,63.0
553,USA,2,AAB,58,1984,1,237052000,-9,236348.0,64.0
554,USA,2,AAB,58,1985,1,245154000,-9,238466.0,64.0
555,USA,2,AAB,58,1986,1,265480000,-9,240651.0,64.0
556,USA,2,AAB,58,1987,1,273966000,-9,242804.0,64.0
557,USA,2,AAB,58,1988,1,281935000,-9,245021.0,64.0
558,USA,2,AAB,58,1989,1,294880000,-9,247342.0,64.0
559,USA,2,AAB,58,1990,1,289755000,3900,249907.0,64.0
560,USA,2,AAB,58,1991,1,262389000,-9,252618.0,64.0
561,USA,2,AAB,58,1992,1,286892000,-9,255391.0,65.0
562,USA,2,AAB,58,1993,1,297600000,-9,258132.0,66.0
563,USA,2,AAB,58,1994,1,293214000,3000,260602.0,66.0
564,USA,2,AAB,58,1995,1,277834000,3000,262755.0,68.0
565,USA,2,AAB,58,1996,1,277254000,4000,265284.0,69.0
566,USA,2,AAB,58,1997,1,276324000,3000,267901.0,67.0
567,USA,2,AAB,58,1998,1,279702000,4000,274028.0,67.0
568,USA,2,AAB,58,1999,1,292147000,4000,276218.0,67.0
569,USA,2,AAB,58,2000,1,303136000,4000,278357.0,68.0
570,USA,2,AAB,58,2001,1,322365000,4000,285112.0,77.0
571,USA,2,AAB,58,2002,1,348555000,4000,290270.0,80.0
572,USA,2,AAB,58,2003,1,404920000,4000,292883.0,81.0
573,USA,2,AAB,58,2004,1,455908000,4000,295487.0,82.0
574,USA,2,AAB,58,2005,1,495326000,5000,298166.0,83.0
575,USA,2,AAB,58,2006,1,521840000,5000,300943.0,83.0
576,USA,2,AAB,58,2007,1,552568000,5000,303787.0,84.0
577,USA,2,AAB,58,2008,1,616073000,7000,306657.0,85.0
578,USA,2,AAB,58,2009,1,662049000,8000,309492.0,86.0
579,USA,2,AAB,58,2010,1,693600000,7000,312247.0,87.0
580,USA,2,AAB,58,2011,1,687000000,29000,314912.0,88.0
581,USA,2,AAB,58,2012,1,655388000,28000,317505.0,89.0
582,USA,2,SKN,60,1984,1,237052000,0,236348.0,45.0
583,USA,2,SKN,60,1985,1,245154000,90,238466.0,44.0
584,USA,2,SKN,60,1986,1,265480000,200,240651.0,44.0
585,USA,2,SKN,60,1987,1,273966000,29,242804.0,43.0
586,USA,2,SKN,60,1988,1,281935000,-9,245021.0,44.0
587,USA,2,SKN,60,1989,1,294880000,-9,247342.0,42.0
588,USA,2,SKN,60,1990,1,289755000,-9,249907.0,42.0
589,USA,2,SKN,60,1991,1,262389000,-9,252618.0,41.0
590,USA,2,SKN,60,1992,1,286892000,-9,255391.0,43.0
591,USA,2,SKN,60,1993,1,297600000,-9,258132.0,44.0
592,USA,2,SKN,60,1994,1,293214000,-9,260602.0,43.0
593,USA,2,SKN,60,1995,1,277834000,-9,262755.0,44.0
594,USA,2,SKN,60,1996,1,277254000,-9,265284.0,42.0
595,USA,2,SKN,60,1997,1,276324000,-9,267901.0,41.0
596,USA,2,SKN,60,1998,1,279702000,-9,274028.0,39.0
597,USA,2,SKN,60,1999,1,292147000,-9,276218.0,39.0
598,USA,2,SKN,60,2000,1,303136000,-9,278357.0,38.0
599,USA,2,SKN,60,2001,1,322365000,-9,285112.0,46.0
600,USA,2,SKN,60,2002,1,348555000,0,290270.0,47.0
601,USA,2,SKN,60,2003,1,404920000,0,292883.0,48.0
602,USA,2,SKN,60,2004,1,455908000,0,295487.0,48.0
603,USA,2,SKN,60,2005,1,495326000,0,298166.0,49.0
604,USA,2,SKN,60,2006,1,521840000,0,300943.0,50.0
605,USA,2,SKN,60,2007,1,552568000,0,303787.0,50.0
606,USA,2,SKN,60,2008,1,616073000,0,306657.0,51.0
607,USA,2,SKN,60,2009,1,662049000,0,309492.0,52.0
608,USA,2,SKN,60,2010,1,693600000,0,312247.0,52.0
609,USA,2,SKN,60,2011,1,687000000,0,314912.0,53.0
610,USA,2,SKN,60,2012,1,655388000,0,317505.0,54.0
611,USA,2,MEX,70,1936,0,932600,19300,128181.0,18410.0
612,USA,2,MEX,70,1937,0,1032900,22478,128961.0,18736.0
613,USA,2,MEX,70,1938,0,1131499,23033,129969.0,19070.0
614,USA,2,MEX,70,1939,0,980000,18600,131028.0,19413.0
615,USA,2,MEX,70,1940,0,1657000,18146,132122.0,19654.0
616,USA,2,MEX,70,1941,0,6301000,22633,133402.0,20210.0
617,USA,2,MEX,70,1942,0,26001000,24691,134860.0,20660.0
618,USA,2,MEX,70,1943,0,72109000,30246,136739.0,21170.0
619,USA,2,MEX,70,1944,0,87000000,32921,138397.0,21670.0
620,USA,2,MEX,70,1945,1,90000000,34979,139928.0,22230.0
621,USA,2,MEX,70,1946,1,45133984,52037,141389.0,22780.0
622,USA,2,MEX,70,1947,1,14315999,57058,144126.0,23440.0
623,USA,2,MEX,70,1948,1,10960998,60576,147208.0,24461.0
624,USA,2,MEX,70,1949,1,13503000,48110,149767.0,25132.0
625,USA,2,MEX,70,1950,1,14559000,40000,152271.0,27376.0
626,USA,2,MEX,70,1951,1,33398000,46012,154878.0,28140.0
627,USA,2,MEX,70,1952,1,47852000,50289,157553.0,28954.0
628,USA,2,MEX,70,1953,1,49621008,55376,160184.0,29814.0
629,USA,2,MEX,70,1954,1,42786000,47093,163026.0,30720.0
630,USA,2,MEX,70,1955,1,40518000,42674,165931.0,31669.0
631,USA,2,MEX,70,1956,1,41773008,50600,168903.0,32662.0
632,USA,2,MEX,70,1957,1,44548000,63411,171984.0,33701.0
633,USA,2,MEX,70,1958,1,45503008,69015,174882.0,34784.0
634,USA,2,MEX,70,1959,1,46614000,70697,177830.0,35909.0
635,USA,2,MEX,70,1960,1,45380000,81745,180671.0,36322.0
636,USA,2,MEX,70,1961,1,47808000,88951,183691.0,38273.0
637,USA,2,MEX,70,1962,1,52381008,100720,186538.0,39510.0
638,USA,2,MEX,70,1963,1,52295008,111129,189242.0,40790.0
639,USA,2,MEX,70,1964,1,51213008,127222,191889.0,42118.0
640,USA,2,MEX,70,1965,1,51827008,132186,194303.0,43148.0
641,USA,2,MEX,70,1966,1,67572000,143235,196560.0,44934.0
642,USA,2,MEX,70,1967,1,75448000,171978,198712.0,46418.0
643,USA,2,MEX,70,1968,1,80732000,182946,200706.0,47952.0
644,USA,2,MEX,70,1969,1,81446000,204003,202677.0,49538.0
645,USA,2,MEX,70,1970,1,77827008,218014,205052.0,50596.0
646,USA,2,MEX,70,1971,1,74862000,224000,207661.0,52884.0
647,USA,2,MEX,70,1972,1,77639000,260800,209896.0,54661.0
648,USA,2,MEX,70,1973,1,78385000,326400,211909.0,56481.0
649,USA,2,MEX,70,1974,1,85906000,430400,213854.0,58320.0
650,USA,2,MEX,70,1975,1,90948000,586200,215973.0,59099.0
651,USA,2,MEX,70,1976,1,91013000,529625,218035.0,60822.0
652,USA,2,MEX,70,1977,1,100925000,533541,220239.0,62538.0
653,USA,2,MEX,70,1978,1,109247000,634413,222585.0,64238.0
654,USA,2,MEX,70,1979,1,122279000,693575,225055.0,65917.0
655,USA,2,MEX,70,1980,1,143981000,824147,227726.0,67570.0
656,USA,2,MEX,70,1981,1,169888000,777120,229966.0,69192.0
657,USA,2,MEX,70,1982,1,196345000,943004,232188.0,70784.0
658,USA,2,MEX,70,1983,1,217198000,607856,234307.0,72354.0
659,USA,2,MEX,70,1984,1,237052000,562331,236348.0,73912.0
660,USA,2,MEX,70,1985,1,245154000,1170000,238466.0,75465.0
661,USA,2,MEX,70,1986,1,265480000,612460,240651.0,77015.0
662,USA,2,MEX,70,1987,1,273966000,937000,242804.0,78561.0
