id,stateabb,ccode,year,chrstgen,islmnat,islmalw,chrstorth,major
446,CUB,40,2014,.,.,.,.,0.0
447,HAI,41,1859,.,.,.,.,0.0
448,HAI,41,1860,.,.,.,.,0.0
449,HAI,41,1861,.,.,.,.,0.0
450,HAI,41,1862,.,.,.,.,0.0
451,HAI,41,1863,.,.,.,.,0.0
452,HAI,41,1864,.,.,.,.,0.0
453,HAI,41,1865,.,.,.,.,0.0
454,HAI,41,1866,.,.,.,.,0.0
455,HAI,41,1867,.,.,.,.,0.0
456,HAI,41,1868,.,.,.,.,0.0
457,HAI,41,1869,.,.,.,.,0.0
458,HAI,41,1870,.,.,.,.,0.0
459,HAI,41,1871,.,.,.,.,0.0
460,HAI,41,1872,.,.,.,.,0.0
461,HAI,41,1873,.,.,.,.,0.0
462,HAI,41,1874,.,.,.,.,0.0
463,HAI,41,1875,.,.,.,.,0.0
464,HAI,41,1876,.,.,.,.,0.0
465,HAI,41,1877,.,.,.,.,0.0
466,HAI,41,1878,.,.,.,.,0.0
467,HAI,41,1879,.,.,.,.,0.0
468,HAI,41,1880,.,.,.,.,0.0
469,HAI,41,1881,.,.,.,.,0.0
470,HAI,41,1882,.,.,.,.,0.0
471,HAI,41,1883,.,.,.,.,0.0
472,HAI,41,1884,.,.,.,.,0.0
473,HAI,41,1885,.,.,.,.,0.0
474,HAI,41,1886,.,.,.,.,0.0
475,HAI,41,1887,.,.,.,.,0.0
476,HAI,41,1888,.,.,.,.,0.0
477,HAI,41,1889,.,.,.,.,0.0
478,HAI,41,1890,.,.,.,.,0.0
479,HAI,41,1891,.,.,.,.,0.0
480,HAI,41,1892,.,.,.,.,0.0
481,HAI,41,1893,.,.,.,.,0.0
482,HAI,41,1894,.,.,.,.,0.0
483,HAI,41,1895,.,.,.,.,0.0
484,HAI,41,1896,.,.,.,.,0.0
485,HAI,41,1897,.,.,.,.,0.0
486,HAI,41,1898,.,.,.,.,0.0
487,HAI,41,1899,.,.,.,.,0.0
488,HAI,41,1900,.,.,.,.,0.0
489,HAI,41,1901,.,.,.,.,0.0
490,HAI,41,1902,.,.,.,.,0.0
491,HAI,41,1903,.,.,.,.,0.0
492,HAI,41,1904,.,.,.,.,0.0
493,HAI,41,1905,.,.,.,.,0.0
