stateabb,ccode,year,democ,autoc,polity,polity2
SAL,92,1914,0,6,-6,-6
SAL,92,1915,0,6,-6,-6
SAL,92,1916,0,6,-6,-6
SAL,92,1917,0,6,-6,-6
SAL,92,1918,0,6,-6,-6
SAL,92,1919,0,6,-6,-6
SAL,92,1920,0,6,-6,-6
SAL,92,1921,0,6,-6,-6
SAL,92,1922,0,6,-6,-6
SAL,92,1923,0,6,-6,-6
SAL,92,1924,0,6,-6,-6
SAL,92,1925,0,6,-6,-6
SAL,92,1926,0,6,-6,-6
SAL,92,1927,0,6,-6,-6
SAL,92,1928,0,6,-6,-6
SAL,92,1929,0,6,-6,-6
SAL,92,1930,0,6,-6,-6
SAL,92,1931,0,9,-9,-9
SAL,92,1932,0,9,-9,-9
SAL,92,1933,0,9,-9,-9
SAL,92,1934,0,9,-9,-9
SAL,92,1935,0,9,-9,-9
SAL,92,1936,0,9,-9,-9
SAL,92,1937,0,9,-9,-9
SAL,92,1938,0,9,-9,-9
SAL,92,1939,0,9,-9,-9
SAL,92,1940,0,9,-9,-9
SAL,92,1941,0,9,-9,-9
SAL,92,1942,0,9,-9,-9
SAL,92,1943,0,9,-9,-9
SAL,92,1944,0,8,-8,-8
SAL,92,1945,0,8,-8,-8
SAL,92,1946,0,8,-8,-8
SAL,92,1947,0,8,-8,-8
SAL,92,1948,-88,-88,-88,-7
SAL,92,1949,-88,-88,-88,-7
SAL,92,1950,0,6,-6,-6
SAL,92,1951,0,6,-6,-6
SAL,92,1952,0,6,-6,-6
SAL,92,1953,0,6,-6,-6
SAL,92,1954,0,6,-6,-6
SAL,92,1955,0,6,-6,-6
SAL,92,1956,0,6,-6,-6
SAL,92,1957,0,6,-6,-6
SAL,92,1958,0,6,-6,-6
SAL,92,1959,0,6,-6,-6
SAL,92,1960,1,1,0,0
SAL,92,1961,1,4,-3,-3
SAL,92,1962,1,4,-3,-3
SAL,92,1963,1,4,-3,-3
SAL,92,1964,1,4,-3,-3
SAL,92,1965,1,4,-3,-3
SAL,92,1966,1,4,-3,-3
SAL,92,1967,1,4,-3,-3
SAL,92,1968,1,4,-3,-3
SAL,92,1969,1,4,-3,-3
SAL,92,1970,1,4,-3,-3
SAL,92,1971,1,4,-3,-3
SAL,92,1972,1,4,-3,-3
SAL,92,1973,1,4,-3,-3
SAL,92,1974,1,4,-3,-3
SAL,92,1975,1,4,-3,-3
SAL,92,1976,1,4,-3,-3
SAL,92,1977,0,6,-6,-6
SAL,92,1978,0,6,-6,-6
SAL,92,1979,-77,-77,-77,0
SAL,92,1980,-77,-77,-77,0
SAL,92,1981,-77,-77,-77,0
SAL,92,1982,-77,-77,-77,0
SAL,92,1983,-77,-77,-77,0
SAL,92,1984,6,0,6,6
SAL,92,1985,6,0,6,6
SAL,92,1986,6,0,6,6
SAL,92,1987,6,0,6,6
SAL,92,1988,6,0,6,6
SAL,92,1989,6,0,6,6
SAL,92,1990,6,0,6,6
SAL,92,1991,6,0,6,6
SAL,92,1992,6,0,6,6
SAL,92,1993,6,0,6,6
SAL,92,1994,7,0,7,7
SAL,92,1995,7,0,7,7
SAL,92,1996,7,0,7,7
SAL,92,1997,7,0,7,7
SAL,92,1998,7,0,7,7
SAL,92,1999,7,0,7,7
SAL,92,2000,7,0,7,7
SAL,92,2001,7,0,7,7
SAL,92,2002,7,0,7,7
SAL,92,2003,7,0,7,7
SAL,92,2004,7,0,7,7
SAL,92,2005,7,0,7,7
SAL,92,2006,7,0,7,7
SAL,92,2007,7,0,7,7
SAL,92,2008,7,0,7,7
SAL,92,2009,8,0,8,8
SAL,92,2010,8,0,8,8
SAL,92,2011,8,0,8,8
SAL,92,2012,8,0,8,8
SAL,92,2013,8,0,8,8
SAL,92,2014,8,0,8,8
SAL,92,2015,8,0,8,8
SAL,92,2016,8,0,8,8
SAL,92,2017,8,0,8,8
SAL,92,2018,8,0,8,8
SAR,324,1815,0,10,-10,-10
SAR,324,1816,0,10,-10,-10
SAR,324,1817,0,10,-10,-10
SAR,324,1818,0,10,-10,-10
SAR,324,1819,0,10,-10,-10
SAR,324,1820,0,10,-10,-10
SAR,324,1821,0,10,-10,-10
SAR,324,1822,0,10,-10,-10
SAR,324,1823,0,10,-10,-10
SAR,324,1824,0,10,-10,-10
SAR,324,1825,0,10,-10,-10
SAR,324,1826,0,10,-10,-10
SAR,324,1827,0,10,-10,-10
SAR,324,1828,0,10,-10,-10
SAR,324,1829,0,10,-10,-10
SAR,324,1830,0,10,-10,-10
SAR,324,1831,0,10,-10,-10
SAR,324,1832,0,10,-10,-10
SAR,324,1833,0,10,-10,-10
SAR,324,1834,0,10,-10,-10
SAR,324,1835,0,10,-10,-10
SAR,324,1836,0,10,-10,-10
SAR,324,1837,0,10,-10,-10
SAR,324,1838,0,10,-10,-10
SAR,324,1839,0,10,-10,-10
SAR,324,1840,0,10,-10,-10
SAR,324,1841,0,10,-10,-10
SAR,324,1842,0,10,-10,-10
SAR,324,1843,0,10,-10,-10
SAR,324,1844,0,10,-10,-10
SAR,324,1845,0,10,-10,-10
SAR,324,1846,0,10,-10,-10
SAR,324,1847,0,10,-10,-10
SAR,324,1848,0,7,-7,-7
SAR,324,1849,0,7,-7,-7
SAR,324,1850,0,7,-7,-7
SAR,324,1851,0,7,-7,-7
SAR,324,1852,0,7,-7,-7
SAR,324,1853,0,7,-7,-7
SAR,324,1854,0,7,-7,-7
SAR,324,1855,0,7,-7,-7
SAR,324,1856,0,7,-7,-7
SAR,324,1857,0,7,-7,-7
SAR,324,1858,0,7,-7,-7
SAR,324,1859,0,7,-7,-7
SAR,324,1860,0,7,-7,-7
SAR,324,1861,0,7,-7,-7
SAU,670,1926,0,10,-10,-10
SAU,670,1927,0,10,-10,-10
SAU,670,1928,0,10,-10,-10
SAU,670,1929,0,10,-10,-10
SAU,670,1930,0,10,-10,-10
SAU,670,1931,0,10,-10,-10
SAU,670,1932,0,10,-10,-10
SAU,670,1933,0,10,-10,-10
SAU,670,1934,0,10,-10,-10
SAU,670,1935,0,10,-10,-10
SAU,670,1936,0,10,-10,-10
SAU,670,1937,0,10,-10,-10
SAU,670,1938,0,10,-10,-10
SAU,670,1939,0,10,-10,-10
SAU,670,1940,0,10,-10,-10
SAU,670,1941,0,10,-10,-10
SAU,670,1942,0,10,-10,-10
SAU,670,1943,0,10,-10,-10
SAU,670,1944,0,10,-10,-10
SAU,670,1945,0,10,-10,-10
SAU,670,1946,0,10,-10,-10
SAU,670,1947,0,10,-10,-10
SAU,670,1948,0,10,-10,-10
SAU,670,1949,0,10,-10,-10
SAU,670,1950,0,10,-10,-10
SAU,670,1951,0,10,-10,-10
SAU,670,1952,0,10,-10,-10
SAU,670,1953,0,10,-10,-10
SAU,670,1954,0,10,-10,-10
SAU,670,1955,0,10,-10,-10
SAU,670,1956,0,10,-10,-10
SAU,670,1957,0,10,-10,-10
SAU,670,1958,0,10,-10,-10
SAU,670,1959,0,10,-10,-10
SAU,670,1960,0,10,-10,-10
SAU,670,1961,0,10,-10,-10
SAU,670,1962,0,10,-10,-10
SAU,670,1963,0,10,-10,-10
SAU,670,1964,0,10,-10,-10
SAU,670,1965,0,10,-10,-10
SAU,670,1966,0,10,-10,-10
SAU,670,1967,0,10,-10,-10
SAU,670,1968,0,10,-10,-10
SAU,670,1969,0,10,-10,-10
SAU,670,1970,0,10,-10,-10
SAU,670,1971,0,10,-10,-10
SAU,670,1972,0,10,-10,-10
SAU,670,1973,0,10,-10,-10
SAU,670,1974,0,10,-10,-10
SAU,670,1975,0,10,-10,-10
SAU,670,1976,0,10,-10,-10
SAU,670,1977,0,10,-10,-10
SAU,670,1978,0,10,-10,-10
SAU,670,1979,0,10,-10,-10
SAU,670,1980,0,10,-10,-10
SAU,670,1981,0,10,-10,-10
SAU,670,1982,0,10,-10,-10
SAU,670,1983,0,10,-10,-10
SAU,670,1984,0,10,-10,-10
SAU,670,1985,0,10,-10,-10
SAU,670,1986,0,10,-10,-10
SAU,670,1987,0,10,-10,-10
SAU,670,1988,0,10,-10,-10
SAU,670,1989,0,10,-10,-10
SAU,670,1990,0,10,-10,-10
SAU,670,1991,0,10,-10,-10
SAU,670,1992,0,10,-10,-10
SAU,670,1993,0,10,-10,-10
SAU,670,1994,0,10,-10,-10
SAU,670,1995,0,10,-10,-10
SAU,670,1996,0,10,-10,-10
SAU,670,1997,0,10,-10,-10
SAU,670,1998,0,10,-10,-10
SAU,670,1999,0,10,-10,-10
SAU,670,2000,0,10,-10,-10
SAU,670,2001,0,10,-10,-10
SAU,670,2002,0,10,-10,-10
SAU,670,2003,0,10,-10,-10
SAU,670,2004,0,10,-10,-10
SAU,670,2005,0,10,-10,-10
SAU,670,2006,0,10,-10,-10
SAU,670,2007,0,10,-10,-10
SAU,670,2008,0,10,-10,-10
SAU,670,2009,0,10,-10,-10
SAU,670,2010,0,10,-10,-10
SAU,670,2011,0,10,-10,-10
SAU,670,2012,0,10,-10,-10
SAU,670,2013,0,10,-10,-10
SAU,670,2014,0,10,-10,-10
SAU,670,2015,0,10,-10,-10
SAU,670,2016,0,10,-10,-10
SAU,670,2017,0,10,-10,-10
SAU,670,2018,0,10,-10,-10
SAX,269,1806,0,10,-10,-10
SAX,269,1807,0,10,-10,-10
SAX,269,1808,0,10,-10,-10
SAX,269,1809,0,10,-10,-10
SAX,269,1810,0,10,-10,-10
SAX,269,1811,0,10,-10,-10
SAX,269,1812,0,10,-10,-10
SAX,269,1813,-66,-66,-66,
SAX,269,1814,-66,-66,-66,
SAX,269,1815,0,10,-10,-10
SAX,269,1816,0,10,-10,-10
SAX,269,1817,0,10,-10,-10
SAX,269,1818,0,10,-10,-10
SAX,269,1819,0,10,-10,-10
SAX,269,1820,0,10,-10,-10
SAX,269,1821,0,10,-10,-10
SAX,269,1822,0,10,-10,-10
SAX,269,1823,0,10,-10,-10
SAX,269,1824,0,10,-10,-10
SAX,269,1825,0,10,-10,-10
SAX,269,1826,0,10,-10,-10
SAX,269,1827,0,10,-10,-10
SAX,269,1828,0,10,-10,-10
SAX,269,1829,0,10,-10,-10
SAX,269,1830,0,10,-10,-10
SAX,269,1831,0,7,-7,-7
SAX,269,1832,0,7,-7,-7
SAX,269,1833,0,7,-7,-7
SAX,269,1834,0,7,-7,-7
SAX,269,1835,0,7,-7,-7
SAX,269,1836,0,7,-7,-7
SAX,269,1837,0,7,-7,-7
SAX,269,1838,0,7,-7,-7
SAX,269,1839,0,7,-7,-7
SAX,269,1840,0,8,-8,-8
SAX,269,1841,0,8,-8,-8
